Lr: 2.370e-05 | Update: nan mean,nan std | Epoch: [0][0/422] | Time 3.896 (3.896) | Data 0.352 (0.352) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [4:58:43]
Lr: 2.607e-04 | Update: nan mean,nan std | Epoch: [0][10/422] | Time 0.547 (0.851) | Data 0.044 (0.073) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [1:04:51]
Lr: 4.976e-04 | Update: nan mean,nan std | Epoch: [0][20/422] | Time 0.552 (0.705) | Data 0.051 (0.059) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:53:28]
Lr: 7.346e-04 | Update: nan mean,nan std | Epoch: [0][30/422] | Time 0.544 (0.653) | Data 0.042 (0.053) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:49:18]
Lr: 9.716e-04 | Update: nan mean,nan std | Epoch: [0][40/422] | Time 0.546 (0.634) | Data 0.040 (0.057) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:48:06]
Lr: 1.209e-03 | Update: nan mean,nan std | Epoch: [0][50/422] | Time 0.549 (0.618) | Data 0.047 (0.054) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:46:39]
Lr: 1.445e-03 | Update: nan mean,nan std | Epoch: [0][60/422] | Time 0.540 (0.620) | Data 0.035 (0.066) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:47:36]
Lr: 1.682e-03 | Update: nan mean,nan std | Epoch: [0][70/422] | Time 0.549 (0.610) | Data 0.042 (0.063) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:46:32]
Lr: 1.919e-03 | Update: nan mean,nan std | Epoch: [0][80/422] | Time 0.553 (0.603) | Data 0.047 (0.061) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:45:45]
Lr: 2.156e-03 | Update: nan mean,nan std | Epoch: [0][90/422] | Time 0.549 (0.597) | Data 0.043 (0.059) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:45:05]
Lr: 2.393e-03 | Update: nan mean,nan std | Epoch: [0][100/422] | Time 0.554 (0.592) | Data 0.048 (0.057) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:44:33]
Lr: 2.630e-03 | Update: nan mean,nan std | Epoch: [0][110/422] | Time 0.550 (0.588) | Data 0.046 (0.056) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:44:05]
Lr: 2.867e-03 | Update: nan mean,nan std | Epoch: [0][120/422] | Time 0.550 (0.585) | Data 0.043 (0.055) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:43:41]
Lr: 3.104e-03 | Update: nan mean,nan std | Epoch: [0][130/422] | Time 0.550 (0.584) | Data 0.044 (0.054) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:43:26]
Lr: 3.341e-03 | Update: nan mean,nan std | Epoch: [0][140/422] | Time 0.549 (0.581) | Data 0.044 (0.053) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:43:06]
Lr: 3.578e-03 | Update: nan mean,nan std | Epoch: [0][150/422] | Time 0.551 (0.584) | Data 0.043 (0.056) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:43:23]
Lr: 3.815e-03 | Update: nan mean,nan std | Epoch: [0][160/422] | Time 0.571 (0.585) | Data 0.044 (0.057) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:43:22]
Lr: 4.052e-03 | Update: nan mean,nan std | Epoch: [0][170/422] | Time 0.554 (0.583) | Data 0.045 (0.056) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:43:05]
Lr: 4.289e-03 | Update: nan mean,nan std | Epoch: [0][180/422] | Time 0.552 (0.582) | Data 0.044 (0.056) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:42:55]
Lr: 4.526e-03 | Update: nan mean,nan std | Epoch: [0][190/422] | Time 0.587 (0.581) | Data 0.044 (0.055) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:42:44]
Lr: 4.763e-03 | Update: nan mean,nan std | Epoch: [0][200/422] | Time 0.566 (0.581) | Data 0.044 (0.055) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:42:33]
Lr: 5.000e-03 | Update: nan mean,nan std | Epoch: [0][210/422] | Time 0.576 (0.580) | Data 0.042 (0.054) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:42:21]
Lr: 5.237e-03 | Update: nan mean,nan std | Epoch: [0][220/422] | Time 0.553 (0.579) | Data 0.043 (0.053) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:42:09]
Lr: 5.474e-03 | Update: nan mean,nan std | Epoch: [0][230/422] | Time 0.549 (0.578) | Data 0.043 (0.053) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:41:58]
Lr: 5.711e-03 | Update: nan mean,nan std | Epoch: [0][240/422] | Time 0.567 (0.577) | Data 0.043 (0.053) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:41:47]
Lr: 5.948e-03 | Update: nan mean,nan std | Epoch: [0][250/422] | Time 0.549 (0.576) | Data 0.045 (0.052) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:41:35]
Lr: 6.185e-03 | Update: nan mean,nan std | Epoch: [0][260/422] | Time 0.549 (0.576) | Data 0.042 (0.052) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:41:24]
Lr: 6.422e-03 | Update: nan mean,nan std | Epoch: [0][270/422] | Time 0.552 (0.575) | Data 0.045 (0.052) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:41:15]
Lr: 6.659e-03 | Update: nan mean,nan std | Epoch: [0][280/422] | Time 0.555 (0.575) | Data 0.046 (0.052) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:41:07]
Lr: 6.896e-03 | Update: nan mean,nan std | Epoch: [0][290/422] | Time 0.579 (0.575) | Data 0.040 (0.051) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:40:59]
Lr: 7.133e-03 | Update: nan mean,nan std | Epoch: [0][300/422] | Time 0.550 (0.578) | Data 0.042 (0.054) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:41:17]
Lr: 7.370e-03 | Update: nan mean,nan std | Epoch: [0][310/422] | Time 0.555 (0.577) | Data 0.046 (0.054) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:41:06]
Lr: 7.607e-03 | Update: nan mean,nan std | Epoch: [0][320/422] | Time 0.562 (0.577) | Data 0.042 (0.054) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:40:57]
Lr: 7.844e-03 | Update: nan mean,nan std | Epoch: [0][330/422] | Time 0.548 (0.576) | Data 0.041 (0.053) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:40:48]
Lr: 8.081e-03 | Update: nan mean,nan std | Epoch: [0][340/422] | Time 0.570 (0.576) | Data 0.043 (0.053) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:40:39]
Lr: 8.318e-03 | Update: nan mean,nan std | Epoch: [0][350/422] | Time 0.551 (0.576) | Data 0.039 (0.053) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:40:31]
Lr: 8.555e-03 | Update: nan mean,nan std | Epoch: [0][360/422] | Time 0.555 (0.575) | Data 0.044 (0.053) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:40:22]
Lr: 8.791e-03 | Update: nan mean,nan std | Epoch: [0][370/422] | Time 0.552 (0.579) | Data 0.042 (0.056) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:40:43]
Lr: 9.028e-03 | Update: nan mean,nan std | Epoch: [0][380/422] | Time 0.564 (0.578) | Data 0.041 (0.056) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:40:33]
Lr: 9.265e-03 | Update: nan mean,nan std | Epoch: [0][390/422] | Time 0.551 (0.579) | Data 0.044 (0.057) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:40:32]
Lr: 9.502e-03 | Update: nan mean,nan std | Epoch: [0][400/422] | Time 0.550 (0.578) | Data 0.041 (0.057) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:40:25]
Lr: 9.739e-03 | Update: nan mean,nan std | Epoch: [0][410/422] | Time 0.549 (0.578) | Data 0.042 (0.056) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:40:15]
Lr: 9.976e-03 | Update: nan mean,nan std | Epoch: [0][420/422] | Time 0.549 (0.577) | Data 0.040 (0.056) | Loss nan (nan) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [0:40:06]
